id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1567,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD KE BAWAH,43083,ORANG,2024
1568,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,31436,ORANG,2024
1569,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (UMUM),52849,ORANG,2024
1570,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (KEJURUAN),71606,ORANG,2024
1571,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,11212,ORANG,2024
1572,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD KE BAWAH,17981,ORANG,2024
1573,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,8646,ORANG,2024
1574,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (UMUM),43751,ORANG,2024
1575,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (KEJURUAN),31314,ORANG,2024
1576,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5858,ORANG,2024
1577,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD KE BAWAH,32949,ORANG,2024
1578,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,22221,ORANG,2024
1579,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (UMUM),10572,ORANG,2024
1580,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (KEJURUAN),15461,ORANG,2024
1581,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3578,ORANG,2024
1582,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD KE BAWAH,21064,ORANG,2024
1583,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,34302,ORANG,2024
1584,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA (UMUM),36707,ORANG,2024
1585,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA (KEJURUAN),23932,ORANG,2024
1586,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5450,ORANG,2024
1587,32,JAWA BARAT,3205,KABUPATEN GARUT,SD KE BAWAH,11243,ORANG,2024
1588,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,24917,ORANG,2024
1589,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA (UMUM),23986,ORANG,2024
1590,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA (KEJURUAN),36750,ORANG,2024
1591,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3212,ORANG,2024
1592,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD KE BAWAH,7773,ORANG,2024
1593,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,6290,ORANG,2024
1594,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA (UMUM),15662,ORANG,2024
1595,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA (KEJURUAN),8601,ORANG,2024
1596,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2024
1597,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD KE BAWAH,3078,ORANG,2024
1598,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,2391,ORANG,2024
1599,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA (UMUM),6404,ORANG,2024
1600,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA (KEJURUAN),9335,ORANG,2024
1601,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1766,ORANG,2024
1602,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD KE BAWAH,11108,ORANG,2024
1603,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,9406,ORANG,2024
1604,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (UMUM),12370,ORANG,2024
1605,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (KEJURUAN),13069,ORANG,2024
1606,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2153,ORANG,2024
1607,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD KE BAWAH,17284,ORANG,2024
1608,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,17620,ORANG,2024
1609,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (UMUM),15448,ORANG,2024
1610,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (KEJURUAN),29974,ORANG,2024
1611,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4667,ORANG,2024
1612,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD KE BAWAH,4466,ORANG,2024
1613,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,5908,ORANG,2024
1614,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (UMUM),8641,ORANG,2024
1615,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (KEJURUAN),9550,ORANG,2024
1616,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1079,ORANG,2024
1617,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD KE BAWAH,5151,ORANG,2024
1618,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,5891,ORANG,2024
1619,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (UMUM),9828,ORANG,2024
1620,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (KEJURUAN),16151,ORANG,2024
1621,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2795,ORANG,2024
1622,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD KE BAWAH,11505,ORANG,2024
1623,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,7611,ORANG,2024
1624,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (UMUM),26076,ORANG,2024
1625,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (KEJURUAN),15338,ORANG,2024
1626,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1492,ORANG,2024
1627,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD KE BAWAH,5171,ORANG,2024
1628,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,14494,ORANG,2024
1629,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (UMUM),25145,ORANG,2024
1630,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (KEJURUAN),16052,ORANG,2024
1631,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2398,ORANG,2024
1632,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD KE BAWAH,7213,ORANG,2024
1633,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,9639,ORANG,2024
1634,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (UMUM),8023,ORANG,2024
